Item Code,Product Name,Department Name,Category Name,Bills,Bill Penetration %,Quantity,Adjusted Quantity (for sachets),Revenue (₹),Avg Selling Price (₹),Avg Cost (₹),Avg Margin % (on selling),Avg MRP (₹)
8908006849093,Priya Gold Refined Sunflower Oil 1L,"Oil, Sugar & Masalas",Oil & Ghee,92,0.41,134,134,19590,146.15,144.87,1.65,174
PACS1023,365 Ayyappa Vothulu White,Home Care,Pooja Needs,90,0.4,131,131,917,7,3.56,49.21,15
8906092341316,Tulasi Deepam Oil 400ml,Home Care,Pooja Needs,89,0.4,93,93,6324,68,58,14.71,97.75
PACS0889,Milmaker 200g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,89,0.4,101,101,2020,20,12.09,39.54,25
PACS1428,Nitya Pooja Brand Oil 400ml,"Oil, Sugar & Masalas",Oil & Ghee,89,0.4,96,96,5952,62,55.6,10.33,99
8909106006478,Surf Excel Quick Wash 1kg,Home Care,Laundry,87,0.39,91,91,17922,196.94,185.91,5.6,205.91
8906021123112,Aachi Turmeric Powder 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,87,0.39,100,100,1300,13,10,23.08,21
8901751803143,Cycle Om Shanthi Jasmine Oil 200ml,Home Care,Pooja Needs,86,0.38,88,88,4048,46,43.47,5.51,55
8904043901015,Tata Salt 1kg,"Oil, Sugar & Masalas",Masala Spices & Ingredients,86,0.38,102,102,2856,28,25.33,9.53,29.98
8901042970158,Mtr Sambar Powder 8g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,86,0.38,176,176,880,5,3.8,24,5
PACS0289,Gasalu 10g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,80,0.36,105,105,2100,20,12.21,38.94,25.96
PACS0868,White Tiffin Plates Set,Restaurant Supplies & Houseware,Paper Goods & Disposables,80,0.36,90,90,1530,17,14.52,14.6,20
8906035030918,Freedom Groundnut Oil Pouch 1L,"Oil, Sugar & Masalas",Oil & Ghee,79,0.35,138,138,22084,160.05,152.11,4.96,206.11
8901725125332,Aashirvaad Turmeric Powder 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,77,0.34,98,98,1372,14,12.25,12.5,20
8908003198057,Sunjyothi Refined Sunflower Oil 1L,"Oil, Sugar & Masalas",Oil & Ghee,76,0.34,119,119,17647,148.44,142.21,4.2,177.09
PACS0191,Red Sugar 250g,"Oil, Sugar & Masalas",Sugar & Gud,76,0.34,90,90,1350,15,13.34,11.09,21.13
8906042370021,Turmeric Powder 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,69,0.31,82,82,1230,15,9.74,35.05,20
PACS1090,Mixing Sompu 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,69,0.31,77,77,770,10,5.8,42,15
PACS0572,Avalu 250g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,64,0.29,68,68,2380,35,20.12,42.51,50
8909106018372,Boost 22g,Beverages,Health Drinks,62,0.28,150,150,1500,10,8.66,13.43,10
PACS0552,Jeera 250g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,63,0.28,66,66,6435,97.49,59.34,39.13,110
8901725008840,Aashirvaad Jeera 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,63,0.28,73,73,1825,25,17.5,30,38
8901042954721,MTR Sambar Masala 100g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,62,0.28,72,72,5128,71.26,65.5,8.08,83.1
PACS0718,Acchu Bellam 500g,"Oil, Sugar & Masalas",Sugar & Gud,62,0.28,72,72,2424,33.65,31.5,6.36,38.03
8906006430419,All Out Ultra Liquid 45ml,Home Care,Home Utilities,58,0.26,63,63,4978,79.02,74.02,6.33,85
8901440023159,Eastern Turmeric Powder 200g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,58,0.26,60,60,3077,51.28,42,18.09,79
8901042971049,MTR Sambar Powder 15g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,58,0.26,90,90,900,10,8.17,18.28,10
PACS0541,Red Chilli Powder 500g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,53,0.24,57,57,5244,92,80,13.04,150
8901440202042,Eastern Meat Masala 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,53,0.24,54,54,1890,35,30.42,13.1,43.42
8908003198101,Lion Brand Grount Nut Oil 1L,"Oil, Sugar & Masalas",Oil & Ghee,53,0.24,87,87,13746,158,144.66,8.44,180
PACS0554,Sabja Seeds 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,52,0.23,65,65,1495,23,11.48,50.06,30
8906042370229,Matha Coriander Powder 50g,"Oil, Sugar & Masalas",Masala Spices & Ingredients,52,0.23,61,61,610,10,6.85,31.46,18
PACS0717,Acchu Bellam 1kg,"Oil, Sugar & Masalas",Sugar & Gud,51,0.23,55,55,3552,64.63,62.22,3.77,70.61
